number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
82,Lead,Pb,"lead, Pb","/?l?d/, LED",metallic gray,82,"group 14 (carbon group), p-block",6,post-transition metal,207.21,[Xe] 4f14 5d10 6s2 6p2,2,,solid,600.61,2022,,10.66,,,,4.77,179.5,26.65,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 978, 1088, 1229, 1412, 1660, 2027",4,Pauling scale: 1.87,"1st: 715.6 kJ/mol, 2nd: 1450.5 kJ/mol, 3rd: 3081.5 kJ/mol",146±5 pm,202,face-centered cubic (fcc),,35.3,diamagnetic,7439-92-1,Middle Easterns (7000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 202Pb, syn, 53000 y, ?, 0.0497, 202Tl, 204Pb, 1.4%, 204Pb is stable with 122 neutrons, 205Pb, trace, 1.53×107 y, ?, 0.051, 205Tl, 206Pb, 24.1%, 206Pb is stable with 124 neutrons, 207Pb, 22.1%, 207Pb is stable with 125 neutrons, 208Pb, 52.4%, 208Pb is stable with 126 neutrons, 210Pb, trace, 22.3 y, ??, 0.064, 210Bi",978,,,11.34,empirical: 175 pm,1190,28.9,208,16,5.6,46,1.5,38–50 MPa,0.44,,,,,,,,,,,,,,,,,,,,
83,Bismuth,Bi,"bismuth, Bi","/?b?zm??/, BIZ-m?th",lustrous brownish silver,83,"group 15 (pnictogens), p-block",6,post-transition metal,208.980401,[Xe] 4f14 5d10 6s2 6p3,2,,solid,544.7,1837,,10.05,,,,11.3,179,25.52,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 941, 1041, 1165, 1325, 1538, 1835",5,Pauling scale: 2.02,"1st: 703 kJ/mol, 2nd: 1610 kJ/mol, 3rd: 2466 kJ/mol, (more)",148±4 pm,207,rhombohedral,,7.97,diamagnetic,7440-69-9,Claude François Geoffroy (1753),,"iso, NA, half-life, DM, DE (MeV), DP, 207Bi, syn, 31.55 y, ?+, 2.399, 207Pb, 208Bi, syn, 3.68×105 y, ?+, 2.880, 208Pb, 209Bi, 100%, 1.9×1019 y, ?, 3.137, 205Tl, 210Bi, trace, 5.012 d, ??, 1.426, 210Po, ?, 5.982, 206Tl, 210mBi, syn, 3.04×106 y, IT, 0.271, 210Bi, ?, 6.253, 206Tl",941,,,9.78,empirical: 156 pm,1790,13.4,1.29,32,12,31,2.25,70–95 MPa,0.33,,,,,,,,,,,,,,,,,,,,
84,Polonium,Po,"polonium, Po","/po??lo?ni?m/, po-LOH-nee-?m",silvery,84,"group 16 (chalcogens), p-block",6,"post-transition metal, but this status is disputed",209,[Xe] 4f14 5d10 6s2 6p4,2,,solid,527,1235,,,,,,ca. 13 kJ/mol,102.91,26.4,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), (846), 1003, 1236",6,Pauling scale: 2.0,1st: 812.1 kJ/mol,140±4 pm,197,"rhombohedral, ?-Po",,20,nonmagnetic,7440-08-6,Pierre and Marie Curie (1898),,"iso, NA, half-life, DM, DE (MeV), DP, 208Po, syn, 2.898 y, ?, 5.215, 204Pb, ?+, 1.401, 208Bi, 209Po, syn, (125.2±3.3) y, ?, 4.979, 205Pb, ?+, 1.893, 209Bi, 210Po, trace, 138.376 d, ?, 5.307, 206Pb",,"after Polonia, Latin for Poland, homeland of Marie Curie",Willy Marckwald (1902),"alpha: 9.196 g/cm3, beta: 9.398 g/cm3",empirical: 168 pm,,23.5,?: 0.40 µ?·m (at 0 °C),,,,,,,,"?, ?",,,,,,,,,,,,,,,,,,
85,Astatine,At,"astatine, At","/?æst?ti?n/ or /?æst?t?n/, AS-t?-teen or AS-t?-tin","unknown, probably metallic",85,"group 17 (halogens), p-block",6,"metalloid, sometimes classified as a nonmetal, or a metal",210,[Xe] 4f14 5d10 6s2 6p5,2,,solid,575,610,,,,,,,(At2) 54.39 kJ/mol,,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 361, 392, 429, 475, 531, 607","?1, +1, +3, +5, +7",Pauling scale: 2.2,1st: 899.003 kJ/mol,150,202,"face-centered cubic (fcc), (predicted)",,1.7,,7440-68-8,"Dale R. Corson, Kenneth Ross MacKenzie, Emilio Segrè (1940)",,"iso, NA, half-life, DM, DE (MeV), DP, 209At, syn, 5.41 h, ?+, 3.486, 209Po, ?, 5.758, 205Bi, 210At, syn, 8.1 h, ?+, 3.981, 210Po, ?, 5.632, 206Bi, 211At, syn, 7.21 h, ?, 0.786, 211Po, ?, 5.983, 207Bi",361,"after Greek astatos (???????), meaning ""unstable""",,(At2) 6.35±0.15 g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,(At2) 32.94 cm3/mol (predicted),,
86,Radon,Rn,"radon, Rn",/?re?d?n/ RAY-don,"colorless gas, occasionally glows green or red in discharge tubes",86,"group 18 (noble gases), p-block",6,noble gas,222,[Xe] 4f14 5d10 6s2 6p6,2,,gas,202,211.5,9.73,,4.4,,377,3.247,18.1,5R/2 = 20.786 J/(mol·K),"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 110, 121, 134, 152, 176, 211",6,Pauling scale: 2.2,1st: 1037 kJ/mol,150,220,face-centered cubic (fcc),,3.61×10?3  W/(m·K),non-magnetic,10043-92-2,Ernest Rutherford and Robert B. Owens (1899),,"iso, NA, half-life, DM, DE (MeV), DP, 210Rn, syn, 2.4 h, ?, 6.404, 206Po, 211Rn, syn, 14.6 h, ?, 2.892, 211At, ?, 5.965, 207Po, 222Rn, trace, 3.8235 d, ?, 5.590, 218Po, 224Rn, syn, 1.8 h, ??, 0.8, 224Fr",110,,William Ramsay and Robert Whytlaw-Gray (1910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Francium,Fr,"francium, Fr","/?frænsi?m/, FRAN-see-?m",,87,"group 1 (alkali metals), s-block",7,alkali metal,223,[Rn] 7s1,2,,solid presumably,"? 300 K (30 °C, 80 °F)","? 950 K (680 °C, 1300 °F)",,,,,,,,,"vapor pressure (extrapolated), P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 404, 454, 519, 608, 738, 946",+1 (a strongly basic oxide),Pauling scale: >0.79,1st: 393 kJ/mol,260,348,"body-centered cubic (bcc), (extrapolated)",,15,Paramagnetic,7440-73-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 221Fr, trace, 4.8 min, ?, 6.457, 217At, 222Fr, syn, 14.2 min, ??, 2.033, 222Ra, 223Fr, trace, 22.00 min, ??, 1.149, 223Ra, ?, 5.430, 219At",404,"after France, homeland of the discoverer",,2.8–3.0 g/cm3 (extrapolated),,,,3,,,,,,,,,,,,,,,Marguerite Perey (1939),,,,,,,,,,,
88,Radium,Ra,"radium, Ra","/?re?di?m/, RAY-dee-?m",silvery white metallic,88,"group 2 (alkaline earth metals), s-block",7,alkaline earth metal,226,[Rn] 7s2,2,,solid,973,2010,,,,,,8.5,113,,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 819, 906, 1037, 1209, 1446, 1799",2,Pauling scale: 0.9,"1st: 509.3 kJ/mol, 2nd: 979.0 kJ/mol",221±2 pm,283,body-centered cubic (bcc),,18.6,nonmagnetic,7440-14-4,Pierre and Marie Curie (1898),,"iso, NA, half-life, DM, DE (MeV), DP, 223Ra, trace, 11.43 d, ?, 5.99, 219Rn, 224Ra, trace, 3.6319 d, ?, 5.789, 220Rn, 225Ra, trace, 14.9 d, ??, 0.356, 225Ac, 226Ra, trace, 1600 y, ?, 4.871, 222Rn, 228Ra, trace, 5.75 y, ??, 0.046, 228Ac",819,,Marie Curie (1910),5.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Actinium,Ac,"actinium, Ac","/æk?t?ni?m/, ak-TIN-nee-?m","silvery-white, glowing with an eerie blue light; sometimes with a golden cast",89,"group n/a, f-block",7,"actinide, sometimes considered a transition metal",227,[Rn] 6d1 7s2,2,,solid,1500,"3500±300 K (3200±300 °C, 5800±500 °F) (extrapolated)",,,,,,14,400,27.2,,3,Pauling scale: 1.1,"1st: 499 kJ/mol, 2nd: 1170 kJ/mol, 3rd: 1900 kJ/mol, (more)",215,,face-centered cubic (fcc),,12,,7440-34-8,,André-Louis Debierne (1899),"iso, NA, half-life, DM, DE (MeV), DP, 225Ac, trace, 10 d, ?, 5.935, 221Fr, 226Ac, syn, 29.37 h, ??, 1.117, 226Th, ?, 0.640, 226Ra, ?, 5.536, 222Fr, 227Ac, trace, 21.772 y, ??, 0.045, 227Th, ?, 5.042, 223Fr",,,,10,,,,,,,,,,,,,,,,,,,Friedrich Oskar Giesel (1902),,,,,,,,,,,
90,Thorium,Th,"thorium, Th","/????ri?m/, THAWR-ee-?m","silvery, often with black tarnish",90,"group n/a, f-block",7,actinide,232.03774,[Rn] 6d2 7s2,2,,solid,2023,5061,,,,,,13.81,,26.23,"vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2633, 2907, 3248, 3683, 4259, 5055",4,Pauling scale: 1.3,,206±6 pm,,face-centred cubic (fcc),,54,paramagnetic,7440-29-1,Jöns Jakob Berzelius (1829),,"iso, NA, half-life, DM, DE (MeV), DP, 227Th, trace, 18.68 d, ?, 6.038, 5.978, 223Ra, 228Th, trace, 1.9116 y, ?, 5.520, 224Ra, 229Th, trace, 7917 y, ?, 5.168, 225Ra, 230Th, 0.02%, 75400 y, ?, 4.770, 226Ra, 231Th, trace, 25.5 h, ??, 0.39, 231Pa, 232Th, 99.98%, 1.405×1010 y, ?, 4.083, 228Ra, 234Th, trace, 24.1 d, ??, 0.27, 234Pa",2633,"after Thor, the Norse god of thunder",,11.7,empirical: 179.8 pm,2490,11,157,79,31,54,3,390–1500 MPa,0.27,295–685 MPa,,,,,514,"1st: 587 kJ/mol, 2nd: 1110 kJ/mol, 3rd: 1930 kJ/mol",,,,,,,,,,,,,
91,Protactinium,Pa,"protactinium, Pa","/?pro?tæk?t?ni?m/, PROH-tak-TIN-ee-?m","bright, silvery metallic luster",91,"group n/a, f-block",7,actinide,231.035882,[Rn] 5f2 6d1 7s2,2,,solid,1841,4300,,,,,,12.34,481,,,2,Pauling scale: 1.5,1st: 568 kJ/mol,200,,tetragonal,,47,paramagnetic,7440-13-3,,Otto Hahn and Lise Meitner (1917–8),"iso, NA, half-life, DM, DE (MeV), DP, 229Pa, syn, 1.5 d, ?, 0.311, 229Th, 230Pa, syn, 17.4 d, ?, 1.310, 230Th, 231Pa, 100%, 3.276×104 y, ?, 5.150, 227Ac, 232Pa, syn, 1.31 d, ??, 1.337, 232U, 233Pa, trace, 26.967 d, ??, 0.5701, 233U, 234Pa, trace, 6.75 h, ??, 2.195, 234U, 234mPa, trace, 1.17 min, ??, 2.29, 234U",,,,15.37,empirical: 163 pm,,~9.9 µm/(m·K) (at r.t.),177,,,,,,,,,,,,,,Dmitri Mendeleev (1869),Kasimir Fajans and Oswald Helmuth Göhring (1913),,,,,,,,,,,
92,Uranium,U,"uranium, U","/j??re?ni?m/, ew-RAY-nee-?m",silvery gray metallic; corrodes to a spalling black oxide coat in air,92,"group n/a, f-block",7,actinide,238.028913,[Rn] 5f3 6d1 7s2,2,,solid,1405.3,4404,,17.3,,,,9.14,417.1,27.665,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2325, 2564, 2859, 3234, 3727, 4402",6,Pauling scale: 1.38,"1st: 597.6 kJ/mol, 2nd: 1420 kJ/mol",196±7 pm,186,orthorhombic,,27.5,paramagnetic,7440-61-1,Martin Heinrich Klaproth (1789),,"iso, NA, half-life, DM, DE (MeV), DP, 232U, syn, 68.9 y, SF, –, –, ?, 5.414, 228Th, 233U, trace, 1.592×105 y, SF, 197.93, –, ?, 4.909, 229Th, 234U, 0.005%, 2.455×105 y, SF, 197.78, –, ?, 4.859, 230Th, 235U, 0.720%, 7.04×108 y, SF, 202.48, –, ?, 4.679, 231Th, 236U, trace, 2.342×107 y, SF, 201.82, –, ?, 4.572, 232Th, 238U, 99.274%, 4.468×109 y, ?, 4.270, 234Th, SF, 205.87, –, ????, –, 238Pu",2325,"after planet Uranus, itself named after Greek god of the sky Uranus",Eugène-Melchior Péligot (1841),19.1,empirical: 156 pm,3155,13.9,0.28,208,111,100,,2350–3850 MPa,0.23,1960–2500 MPa,,,,,,,,,,,,,,,,,,,
93,Neptunium,Np,"neptunium, Np","UK /n?p?tju?ni?m/, US /n?p?tu?ni?m/
nep-TEW-nee-?m, nep-TOO-nee-?m",silvery metallic,93,"group n/a, f-block",7,actinide,237,[Rn] 5f4 6d1 7s2,2,,solid,"912±3 K (639±3 °C, 1182±5 °F)",4447,,,,,,5.19,336,29.46,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 2194, 2437",7,Pauling scale: 1.36,1st: 604.5 kJ/mol,190±1 pm,,orthorhombic,,6.3,paramagnetic,7439-99-8,Edwin McMillan and Philip H. Abelson (1940),,"iso, NA, half-life, DM, DE (MeV), DP, 235Np, syn, 396.1 d, ?, 5.192, 231Pa, ?, 0.124, 235U, 236Np, syn, 1.54×105 y, ?, 0.940, 236U, ??, 0.940, 236Pu, ?, 5.020, 232Pa, 237Np, trace, 2.144×106 y, ?, 4.959, 233Pa, 239Np, trace, 2.356 d, ??, 0.218, 239Pu",2194,"after planet Neptune, itself named after Roman god of the sea Neptune",,"alpha: 20.45 g/cm3, accepted standard value: 19.38 g/cm3",empirical: 155 pm,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Plutonium,Pu,"plutonium, Pu","/plu??to?ni?m/, ploo-TOH-nee-?m","silvery white, tarnishing to dark gray in air",94,"group n/a, f-block",7,actinide,244,[Rn] 5f6 7s2,2,,solid,912.5,3505,,16.63,,,,2.82,333.5,35.5,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1756, 1953, 2198, 2511, 2926, 3499",8,Pauling scale: 1.28,1st: 584.7 kJ/mol,187±1 pm,,monoclinic,2260,6.74,paramagnetic,7440-07-5,"Glenn T. Seaborg, Arthur Wahl, Joseph W. Kennedy, Edwin McMillan (1940–1)",,"iso, NA, half-life, DM, DE (MeV), DP, 238Pu, trace, 87.74 y, SF, 204.66, –, ?, 5.5, 234U, 239Pu, trace, 2.41×104 y, SF, 207.06, –, ?, 5.157, 235U, 240Pu, syn, 6.5×103 y, SF, 205.66, –, ?, 5.256, 236U, 241Pu, syn, 14 y, ??, 0.02078, 241Am, SF, 210.83, –, 242Pu, syn, 3.73×105 y, SF, 209.47, –, ?, 4.984, 238U, 244Pu, syn, 8.08×107 y, ?, 4.666, 240U, SF, –",1756,"after dwarf planet Pluto, itself named after classical god of the underworld Pluto",,19.816,empirical: 159 pm,,46.7,1.46,96,43,,,,0.21,,,,,,,,,,,,,,,,,,,,
95,Americium,Am,"americium, Am","/?æm??r?si?m/, AM-?-RIS-ee-?m",silvery white,95,"group n/a, f-block",7,actinide,243,[Rn] 5f7 7s2,2,,solid,1449,2880,,,,,,14.39,,62.7,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1239, 1356",8,Pauling scale: 1.3,1st: 578 kJ/mol,180±6 pm,,double hexagonal close-packed (dhcp),,10,paramagnetic,7440-35-9,"Glenn T. Seaborg, Ralph A. James, Leon O. Morgan, Albert Ghiorso (1944)",,"iso, NA, half-life, DM, DE (MeV), DP, 241Am, syn, 432.2 y, SF, –, –, ?, 5.486, 237Np, 242m1Am, syn, 141 y, IT, 0.049, 242Am, ?, 5.637, 238Np, SF, –, –, 243Am, syn, 7370 y, SF, –, –, ?, 5.275, 239Np",1239,after the Americas,,12,empirical: 173 pm,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Curium,Cm,"curium, Cm","/?kj??ri?m/, KEWR-ee-?m","silvery metallic, glows purple in the dark",96,"group n/a, f-block",7,actinide,247,[Rn] 5f7 6d1 7s2,2,,solid,1613,3383,,,,,,13.85,,,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1788, 1982",6,Pauling scale: 1.3,1st: 581 kJ/mol,169±3 pm,,double hexagonal close-packed (dhcp),,,antiferromagnetic-paramagnetic transition at 52 K,7440-51-9,"Glenn T. Seaborg, Ralph A. James, Albert Ghiorso (1944)",,"iso, NA, half-life, DM, DE (MeV), DP, 242Cm, syn, 160 d, SF, –, –, ?, 6.1, 238Pu, 243Cm, syn, 29.1 y, ?, 6.169, 239Pu, ?, 0.009, 243Am, SF, –, –, 244Cm, syn, 18.1 y, SF, –, –, ?, 5.8048, 240Pu, 245Cm, syn, 8500 y, SF, –, –, ?, 5.623, 241Pu, 246Cm, syn, 4730 y, ?, 5.475, 242Pu, SF, –, –, 247Cm, syn, 1.56×107 y, ?, 5.353, 243Pu, 248Cm, syn, 3.40×105 y, ?, 5.162, 244Pu, SF, –, –, 250Cm, syn, 9000 y, SF, –, –, ?, 5.169, 246Pu, ??, 0.037, 250Bk",1788,named after Marie Sk?odowska-Curie and Pierre Curie,,13.51,empirical: 174 pm,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Berkelium,Bk,"berkelium, Bk","/b?r?ki?li.?m/; less commonly: /?b??rkli.?m/, b?r-KEE-lee-?m; BERK-lee-?m",silvery,97,"group n/a, f-block",7,actinide,247,[Rn] 5f9 7s2,2,,solid,"beta: 1259 K (986 °C, 1807 °F)","beta: 2900 K (2627 °C, 4760 °F)",,,,,,7.92,,,,2,Pauling scale: 1.3,1st: 601 kJ/mol,,,double hexagonal close-packed (dhcp),,10,paramagnetic,7440-40-6,Lawrence Berkeley National Laboratory (1949),,"iso, NA, half-life, DM, DE (MeV), DP, 245Bk, syn, 4.94 d, ?, 0.810, 245Cm, ?, 6.455, 241Am, 246Bk, syn, 1.8 d, ?, 6.070, 242Am, ?, 1.350, 246Cm, 247Bk, syn, 1380 y, ?, 5.889, 243Am, 248Bk, syn, >300 y, ?, 5.803, 244Am, 249Bk, syn, 330 d, ?, 5.526, 245Am, SF, –, –, ??, 0.125, 249Cf",,"after Berkeley, California, where it was discovered",,"alpha: 14.78 g/cm3, beta: 13.25 g/cm3",empirical: 170 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Californium,Cf,"californium, Cf","/?kæl??f??rni?m/, KAL-i-FOR-nee-?m",silvery,98,"group n/a, f-block",7,actinide,251,[Rn] 5f10 7s2,2,,solid,1173,1743,,,,,,,,,,2,Pauling scale: 1.3,1st: 608 kJ/mol,,,double hexagonal close-packed (dhcp),,,,7440-71-3,Lawrence Berkeley National Laboratory (1950),,"iso, NA, half-life, DM, DE (MeV), DP, 248Cf, syn, 333.5 d, ? (100%), 6.369, 244Cm, SF (2.9×10?3%), 0.0029, –, 249Cf, syn, 351 y, ? (100%), 6.295, 245Cm, SF (5.0×10?7%), 4.4×10?7, –, 250Cf, syn, 13.08 y, ? (99.92%), 6.129, 246Cm, SF (0.08%), 0.077, –, 251Cf, syn, 898 y, ?, 6.172, 247Cm, 252Cf, syn, 2.645 y, ? (96.91%), 6.217, 248Cm, SF (3.09%), –, –, 253Cf, syn, 17.81 d, ?? (99.69%), 0.29, 253Es, ? (0.31%), 6.126, 249Cm, 254Cf, syn, 60.5 d, SF (99.69%), –, –, ? (0.31%), 5.930, 250Cm",,"after California, where it was discovered",,15.1,,,,,,,,3–4,,,,,,,,,,,,,,,,,,,,,,
99,Einsteinium,Es,"einsteinium, Es","/a?n?sta?ni?m/, eyen-STY-nee-?m",silvery; glows blue in the dark,99,"group n/a, f-block",7,actinide,252,[Rn] 5f11 7s2,2,,solid,1133,1269,,,,,,,,,,2,Pauling scale: 1.3,1st: 619 kJ/mol,,,face-centered cubic (fcc),,,paramagnetic,7429-92-7,Lawrence Berkeley National Laboratory (1952),,"iso, NA, half-life, DM, DE (MeV), DP, 252Es, syn, 471.7 d, ?, 6.760, 248Bk, ?, 1.260, 252Cf, ??, 0.480, 252Fm, 253Es, syn, 20.47 d, SF, –, –, ?, 6.739, 249Bk, 254Es, syn, 275.7 d, ?, 0.654, 254Cf, ??, 1.090, 254Fm, ?, 6.628, 250Bk, 255Es, syn, 39.8 d, ??, 0.288, 255Fm, ?, 6.436, 251Bk, SF, –, –",,after Albert Einstein,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Fermium,Fm,"fermium, Fm","/?f??rmi?m/, FER-mee-?m",,100,"group n/a, f-block",7,actinide,257,[Rn] 5f12 7s2,2,,solid (predicted),1800,,,,,,,,,,,2,Pauling scale: 1.3,1st: 627 kJ/mol  (estimated),,,"face-centered cubic (fcc), (predicted)",,,,7440-72-4,Lawrence Berkeley National Laboratory (1952),,"iso, NA, half-life, DM, DE (MeV), DP, 252Fm, syn, 25.39 h, SF, –, –, ?, 7.153, 248Cf, 253Fm, syn, 3 d, ?, 0.333, 253Es, ?, 7.197, 249Cf, 255Fm, syn, 20.07 h, SF, –, –, ?, 7.241, 251Cf, 257Fm, syn, 100.5 d, ?, 6.864, 253Cf, SF, –, –",,after Enrico Fermi,,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mendelevium,Md,"mendelevium, Md",/?m?nd??l?vi?m/ or /?m?nd??li?vi?m/,,101,"group n/a, f-block",7,actinide,258,[Rn] 5f13 7s2,2,,solid (predicted),1100,,,,,,,,,,,2,Pauling scale: 1.3,1st: 635 kJ/mol  (estimated),,,"face-centered cubic (fcc), (predicted)",,,,7440-11-1,Lawrence Berkeley National Laboratory (1955),,"iso, NA, half-life, DM, DE (MeV), DP, 257Md, syn, 5.52 h, ?, 0.406, 257Fm, ?, 7.558, 253Es, SF, –, –, 258Md, syn, 51.5 d, ?, 1.230, 258Fm, 260Md, syn, 31.8 d, SF, –, –, ?, 7.000, 256Es, ?, –, 260Fm, ??, 1.000, 260No",,after Dmitri Mendeleev,,10.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Nobelium,No,"nobelium, No","i/no??b?li?m/ or /no??bi?li?m/, noh-BEL-ee-?m or noh-BEE-lee-?m",,102,"group n/a, f-block",7,actinide,259,[Rn] 5f14 7s2,2,,solid (predicted),1100,,,,,,,,,,,2,Pauling scale: 1.3 (predicted),"1st: 641.6 kJ/mol, 2nd: 1254.3 kJ/mol, 3rd: 2605.1 kJ/mol  (all estimated)",,,"face-centered cubic (fcc), (predicted)",,,,10028-14-5,Joint Institute for Nuclear Research (1966),,"iso
NA
half-life
DM
DE (MeV)
DP


253No
syn
1.62 min
80% ?
8.14, 8.06, 8.04, 8.01
249Fm


20% ?+

253Md


254No
syn
51 s
90% ?

250Fm


10% ?+

254Md


255No
syn
3.1 min
61% ?
8.12, 8.08, 7.93
251Fm


39% ?+
2.012
255Md


257No
syn
25 s
99% ?
8.32, 8.22
253Fm


1% ?+

257Md


259No
syn
58 min
75% ?
7.69, 7.61, 7.53....
255Fm


25% ?

259Md


10% SF",,after Alfred Nobel,,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Lawrencium,Lr,"lawrencium, Lr","i/l??r?nsi?m/, l?-REN-see-?m",silvery (predicted),103,"group n/a, d-block",7,"actinide, sometimes considered a transition metal",266,[Rn] 5f14 7s2 7p1,2,,solid (predicted),1900,,,,,,,,,,,3,,"1st: 478.6 kJ/mol, 2nd: 1428.0 kJ/mol (predicted), 3rd: 2219.1 kJ/mol (predicted)",,,"hexagonal close-packed (hcp), (predicted)",,,,22537-19-5,Lawrence Berkeley National Laboratory and Joint Institute for Nuclear Research (1961–1971),,"iso, NA, half-life, DM, DE (MeV), DP, 266Lr, syn, 11 h, SF, 262Lr, syn, 3.6 h, ?, 262No, 261Lr, syn, 44 min, SF/??, 260Lr, syn, 2.7 min, ?, 8.04, 256Md, 259Lr, syn, 6.2 s, 78% ?, 8.44, 255Md, 22% SF, 256Lr, syn, 27 s, ?, 8.62,8.52,8.32..., 252Md, 255Lr, syn, 21.5 s, ?, 8.43,8.37, 251Md, 254Lr, syn, 13 s, 78% ?, 8.46,8.41, 250Md, 22% ?, 254No",,after Ernest Lawrence,,~15.6–16.6 g/cm3 (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Dubnium,Db,"dubnium, Db","i/?du?bni?m/, DOOB-nee-?m",,105,"group 5, d-block",7,transition metal,268,[Rn] 5f14 6d3 7s2 ,2,,solid (predicted),,,,,,,,,,,,5,,"1st: 656.1 kJ/mol, 2nd: 1546.7 kJ/mol, 3rd: 2378.4 kJ/mol, (more) (all but first estimated)",149,,body-centered cubic (bcc) (predicted),,,,53850-35-4,Joint Institute for Nuclear Research (1968),,"iso, NA, half-life, DM, DE (MeV), DP, 262Db, syn, 34 s, 67% ?, 8.66,, 8.45, 258Lr, 33% SF, 263Db, syn, 27 s, 56% SF, 41% ?, 8.36, 259Lr, 3% ?, 263mRf, 266Db, syn, 22 min, SF, ?, 266Rf, 267Db, syn, 1.2 h, SF, 268Db, syn, 29 h, SF, ?, 268Rf, 270Db, syn, 23.15 h, 17% SF, 83% ?, 266Lr",,after the town of Dubna in Russia,,29.3,empirical: 139 pm (estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Seaborgium,Sg,"seaborgium, Sg","i/si??b??r?i?m/, see-BOR-gee-?m",,106,"group 6, d-block",7,transition metal,269,[Rn] 5f14 6d4 7s2 ,2,,solid (predicted),,,,,,,,,,,,6,,"1st: 752.6 kJ/mol, 2nd: 1732.9 kJ/mol, 3rd: 2483.5 kJ/mol, (more) (all but first estimated)",143,,"body-centered cubic (bcc), (predicted)",,,,54038-81-2,Lawrence Berkeley National Laboratory (1974),,"iso
NA
half-life
DM
DE (MeV)
DP


271Sg
syn
1.9 min
67% ?
8.54
267Rf


33% SF




269Sg
syn
3.1+3.7
?1.1 min
?
8.50(6)
265Rf


267Sg
syn
1.4 min
17% ?
8.20
263Rf


83% SF




265mSg
syn
16.2 s
?
8.70
261mRf


265Sg
syn
8.9 s
?
8.90, 8.84, 8.76
261Rf",,after Glenn T. Seaborg,,35,empirical: 132 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
